"Iteration","Method","TPR","FPR","MSE","Random_TPR","Random_FPR","gamma_mspe","opt_lambda_fixed","opt_lambda_random","re_var_x2","re_var_x3","glmmTMB_signal_collapse","Seed","glmmTMB_collapsed_vars"
1,"glmmTMB",1,1,0.010899502704364,NA,NA,0.0403639642457134,1.22508372483069,NA,NA,NA,FALSE,12345,NA
1,"Lin",1,0,0.00589883750374015,1,0.5,0.0329512758730912,2.5,0.5,-0.000918188653538207,0.00663156278621448,NA,12345,NA
1,"Bondell",1,0.4,0.00762738465111111,1,0.5,0.035420749131569,0.4,0.4,0.00650063671407484,0,NA,12345,NA
2,"glmmTMB",1,1,0.00680990822811752,NA,NA,0.0389369798852498,0.001,NA,NA,NA,FALSE,12345,NA
2,"Lin",1,0,0.000227073723762131,1,0.5,0.0292944306316816,2.5,1,0,0.000555037342934952,NA,12345,NA
2,"Bondell",1,0.2,0.00495323731633333,1,0,0.0347203812067069,0.4,0.4,0,0,NA,12345,NA
3,"glmmTMB",1,1,0.0100030168585387,NA,NA,0.0321906220293291,1.22508372483069,NA,NA,NA,FALSE,12345,NA
3,"Lin",1,0,0.00174079133651582,1,0.5,0.036040091198471,2.5,0.1,-0.000292936528550195,0.00597467648600894,NA,12345,NA
3,"Bondell",1,0.2,0.000949457248666667,1,0.5,0.0238304253009756,0.4,0.4,0.00256145994776028,0,NA,12345,NA
4,"glmmTMB",1,1,0.00522739203153103,NA,NA,0.0252138399518414,0.001,NA,NA,NA,FALSE,12345,NA
4,"Lin",0.666666666666667,0,0.0297635751296891,1,0,0.101181449282155,10,1,-1.86344948607426e-05,-0.00207971911623436,NA,12345,NA
4,"Bondell",1,0.2,0.008209197855,1,0,0.0369873326651918,0.4,0.4,0,0,NA,12345,NA
5,"glmmTMB",1,1,0.00569141636732398,NA,NA,0.0255824065776686,0.0935955520254055,NA,NA,NA,FALSE,12345,NA
5,"Lin",0.666666666666667,0,0.0306994320506606,1,1,0.0840218590954744,10,0.1,0.0141943062767339,0.0276317397487175,NA,12345,NA
5,"Bondell",1,0.2,0.0125964411565556,1,1,0.047067445558374,0.4,0.4,0.0124687166128136,0.0147027069151378,NA,12345,NA
6,"glmmTMB",1,1,0.00279470708200077,NA,NA,0.021851935763029,0.001,NA,NA,NA,FALSE,12345,NA
6,"Lin",1,0,0.000175923303401007,1,1,0.0297114114835279,2.5,0.1,0.0121213186371657,0.00259670936613775,NA,12345,NA
6,"Bondell",1,0.4,0.00051859378011111,1,0.5,0.0216213584053715,0.4,0.4,0.00820600708924927,0,NA,12345,NA
7,"glmmTMB",1,1,0.0221879207338127,NA,NA,0.0565639627891969,1.22508372483069,NA,NA,NA,FALSE,12345,NA
7,"Lin",1,0.2,0.018634629083846,1,0,0.0539131105664215,1,2.5,0,-1.07442157242828e-05,NA,12345,NA
7,"Bondell",1,0.2,0.0134416131397778,1,0.5,0.0441036954968022,0.4,0.4,0.000533806789812951,0,NA,12345,NA
8,"glmmTMB",1,1,0.0102844899728109,NA,NA,0.0420726889464197,0.001,NA,NA,NA,FALSE,12345,NA
8,"Lin",1,0.4,0.0047261178531206,1,0,0.0289729750047326,1,5,0,0,NA,12345,NA
8,"Bondell",1,0.4,0.000795440034888889,1,0.5,0.0183822004267677,0.4,0.4,0.000925240264314753,0,NA,12345,NA
9,"glmmTMB",1,1,0.00988060330020463,NA,NA,0.0368257683736416,0.001,NA,NA,NA,FALSE,12345,NA
9,"Lin",0.666666666666667,0.2,0.0291126618255015,1,0.5,0.0837167010887776,2.5,2.5,0.000549395682876561,0,NA,12345,NA
9,"Bondell",1,0.4,0.0228176959483333,1,0,0.0691980219275943,0.4,0.4,0,0,NA,12345,NA
10,"glmmTMB",1,1,0.00787072768443271,NA,NA,0.0316914238256131,0.001,NA,NA,NA,FALSE,12345,NA
10,"Lin",0.666666666666667,0,0.0278852342132833,1,1,0.0800399956961091,2.5,0.1,0.00434520148837878,0.00784659068476768,NA,12345,NA
10,"Bondell",1,0.2,0.013397655963,1,0,0.0429120340386754,0.4,0.4,0,0,NA,12345,NA
11,"glmmTMB",0.666666666666667,0.8,0.0396966091008608,NA,NA,0.114178777569399,20.6184125759897,NA,NA,NA,TRUE,12345,NA
11,"Lin",0.666666666666667,0,0.0285809107462126,1,0,0.0827173333464152,5,2.5,0,0,NA,12345,NA
11,"Bondell",1,0.2,0.00374528305588889,1,0.5,0.0285890640265146,0.4,0.4,0.00158187877609512,0,NA,12345,NA
12,"glmmTMB",1,1,0.00795713800383496,NA,NA,0.0383753274183333,0.971000224804935,NA,NA,NA,FALSE,12345,NA
12,"Lin",1,0,0.00128919142891938,1,0,0.0271626531291487,2.5,2.5,0,0,NA,12345,NA
12,"Bondell",1,0.4,0.00328152389688889,1,0.5,0.0317092642551111,0.4,0.4,0.0019246265253939,0,NA,12345,NA
13,"glmmTMB",1,1,0.00615813617820133,NA,NA,0.0197080661816682,0.001,NA,NA,NA,FALSE,12345,NA
13,"Lin",1,0,0.00157803373311662,1,1,0.0240599911685757,2.5,0.1,0.00205850329718694,0.00913708373751815,NA,12345,NA
13,"Bondell",1,0.2,0.000340709488333333,1,1,0.0183498464058433,0.4,0.4,0.00257457957529666,0.00300492102005023,NA,12345,NA
14,"glmmTMB",1,1,0.0115151590587521,NA,NA,0.0415265645780127,0.001,NA,NA,NA,FALSE,12345,NA
14,"Lin",0.666666666666667,0,0.0288313604782878,1,1,0.0917598511751985,5,1,0.0349525408712249,0.0192150084466311,NA,12345,NA
14,"Bondell",0.666666666666667,0,0.03603330737,1,0,0.0768690376292868,0.2,0.2,0,0,NA,12345,NA
15,"glmmTMB",1,1,0.00625710916370728,NA,NA,0.0360853022351235,0.001,NA,NA,NA,FALSE,12345,NA
15,"Lin",0.666666666666667,0,0.028729309148111,1,0.5,0.0783860011046937,10,0.5,0.00705119221398335,-0.000397613958964478,NA,12345,NA
15,"Bondell",1,0.2,0.008434654353,1,0.5,0.034978499796093,0.4,0.4,0.0173316314325196,0,NA,12345,NA
16,"glmmTMB",0.666666666666667,0.8,0.0287952631271263,NA,NA,0.0758973254099607,20.6184125759897,NA,NA,NA,TRUE,12345,NA
16,"Lin",0.666666666666667,0,0.0280309235208751,1,1,0.0864954891193671,2.5,1,0.00677646729854878,0.0154768619738175,NA,12345,NA
16,"Bondell",1,0.4,0.021652871427,1,1,0.0685551642833273,0.4,0.4,0.00627455715117774,0.00406382373198492,NA,12345,NA
17,"glmmTMB",1,1,0.00610964771872153,NA,NA,0.030360893361872,0.001,NA,NA,NA,FALSE,12345,NA
17,"Lin",1,0,0.000787116899885138,1,0.5,0.0239353336185937,2.5,0.1,-0.00361175796097295,0.00777024388945503,NA,12345,NA
17,"Bondell",1,0.2,0.00157223109022222,1,1,0.0230182498509437,0.4,0.4,0.00203431260791064,0.00165182629244068,NA,12345,NA
18,"glmmTMB",0.666666666666667,0.6,0.0486838620871359,NA,NA,0.12555487900632,20.6184125759897,NA,NA,NA,TRUE,12345,NA
18,"Lin",0.666666666666667,0,0.0282036189801973,1,0.5,0.0820180757060359,10,2.5,0.00416367708451453,0,NA,12345,NA
18,"Bondell",0.666666666666667,0.2,0.0340224325503333,1,0.5,0.0975502961012915,0.4,0.4,0.00593789007266698,0,NA,12345,NA
19,"glmmTMB",1,0.8,0.0223635059844613,NA,NA,0.0639438610143806,0.001,NA,NA,NA,FALSE,12345,NA
19,"Lin",0.666666666666667,0,0.0285069374801019,1,0.5,0.0739969298190233,10,2.5,0.00531918580241721,0,NA,12345,NA
19,"Bondell",1,0.2,0.00678924677355555,1,0.5,0.0316830371475862,0.4,0.4,0.005329577308321,0,NA,12345,NA
20,"glmmTMB",1,1,0.0026472819790893,NA,NA,0.0291673638195632,1.22508372483069,NA,NA,NA,FALSE,12345,NA
20,"Lin",1,0,0.00466476833998684,1,0.5,0.0403541734965357,2.5,1,0,0.00224447479858513,NA,12345,NA
20,"Bondell",1,0.2,0.00190278645355555,1,0.5,0.0296078807581845,0.4,0.4,0.00186502038185553,0,NA,12345,NA
21,"glmmTMB",1,1,0.0075494858697635,NA,NA,0.0398272550133879,0.001,NA,NA,NA,FALSE,12345,NA
21,"Lin",1,0,0.00319543476198449,1,0.5,0.0341590946666029,1,0.1,0.00650516216778577,-0.00134258340166537,NA,12345,NA
21,"Bondell",1,0,0.00285792887477778,1,0.5,0.030563505040459,0.4,0.4,0.00684243553316351,0,NA,12345,NA
22,"glmmTMB",1,1,0.0104553420256992,NA,NA,0.0412457392380953,1.22508372483069,NA,NA,NA,FALSE,12345,NA
22,"Lin",0.666666666666667,0,0.0281700009155174,1,0,0.0574174844812001,10,0.5,0,-0.00515045350641636,NA,12345,NA
22,"Bondell",1,0.2,0.00568994477966666,1,0,0.0231563686725269,0.4,0.4,0,0,NA,12345,NA
23,"glmmTMB",1,1,0.0288755289425167,NA,NA,0.0817283963850485,0.001,NA,NA,NA,FALSE,12345,NA
23,"Lin",1,0,0.00669970846382228,1,0,0.0456578367706944,5,0.5,0,-0.000242214676916126,NA,12345,NA
23,"Bondell",1,0,0.00949142506655556,1,0,0.0461444664471216,0.4,0.4,0,0,NA,12345,NA
24,"glmmTMB",1,1,0.00701379655813105,NA,NA,0.0246821055125204,0.112775423252096,NA,NA,NA,FALSE,12345,NA
24,"Lin",1,0,0.000292692373313695,1,1,0.0273850857959853,5,0.5,0.00521162627366614,0.0277300313423112,NA,12345,NA
24,"Bondell",1,0.2,0.00270915309488889,1,0,0.0199668801365442,0.4,0.4,0,0,NA,12345,NA
25,"glmmTMB",1,1,0.00453721731157726,NA,NA,0.0192206769415726,0.001,NA,NA,NA,FALSE,12345,NA
25,"Lin",0.666666666666667,0,0.0293405536086784,1,0,0.10608452760008,5,1,-1.99696698568747e-05,-0.000187124785117786,NA,12345,NA
25,"Bondell",1,0.2,0.00320267547388889,1,0,0.0267147523452565,0.4,0.4,0,0,NA,12345,NA
26,"glmmTMB",1,1,0.0296822070753833,NA,NA,0.0728848986398975,1.22508372483069,NA,NA,NA,FALSE,12345,NA
26,"Lin",1,0,0.0150675078906828,1,0,0.0407900444576396,2.5,5,0,0,NA,12345,NA
26,"Bondell",1,0,0.0217777889225556,1,1,0.0566093164860794,0.4,0.4,0.000920845534827896,0.00523309847259071,NA,12345,NA
27,"glmmTMB",1,1,0.0114713880661556,NA,NA,0.0415788373707172,0.001,NA,NA,NA,FALSE,12345,NA
27,"Lin",1,0,0.00247133034041045,1,0,0.0269994132469781,2.5,1,0,-4.89198567254318e-05,NA,12345,NA
27,"Bondell",1,0.2,0.00746184095255556,1,0.5,0.0339464915784926,0.4,0.4,0.00132963398149154,0,NA,12345,NA
28,"glmmTMB",1,1,0.0709495896665651,NA,NA,0.162223728823021,1.22508372483069,NA,NA,NA,FALSE,12345,NA
28,"Lin",1,0,0.0121705466160888,1,0.5,0.0450630647830847,5,0.1,0.0231154469335142,-0.00305661325972337,NA,12345,NA
28,"Bondell",1,0,0.0320995409275556,1,0,0.0835404896266303,0.4,0.4,0,0,NA,12345,NA
29,"glmmTMB",1,1,0.012123288341436,NA,NA,0.0574456087385668,1.22508372483069,NA,NA,NA,FALSE,12345,NA
29,"Lin",1,0,0.00843316521856073,1,0,0.0531085105751402,1,2.5,0,0,NA,12345,NA
29,"Bondell",1,0,0.008155472902,1,0.5,0.0559943971534987,0.4,0.4,0.000747063478784071,0,NA,12345,NA
30,"glmmTMB",1,1,0.00325578729925197,NA,NA,0.031785415515974,0.112775423252096,NA,NA,NA,FALSE,12345,NA
30,"Lin",0.666666666666667,0,0.0279349769395245,1,0,0.0694903898619328,5,2.5,0,0,NA,12345,NA
30,"Bondell",1,0.4,0.00294008982833333,1,0,0.022678269814272,0.4,0.4,0,0,NA,12345,NA
31,"glmmTMB",1,1,0.0109228123428713,NA,NA,0.0479317011508316,1.22508372483069,NA,NA,NA,FALSE,12345,NA
31,"Lin",1,0,0.00760901032640459,1,0.5,0.0426967929745014,2.5,2.5,0,0.000601354345397337,NA,12345,NA
31,"Bondell",1,0.2,0.0100547127221111,1,1,0.0477151070584061,0.4,0.4,0.000943838239286823,0.00470910848105954,NA,12345,NA
32,"glmmTMB",0.666666666666667,1,0.0396017986956452,NA,NA,0.10212990292853,20.6184125759897,NA,NA,NA,TRUE,12345,NA
32,"Lin",0.666666666666667,0,0.0283868118232822,1,0,0.0712941637310892,5,0.5,-1.49463851223813e-05,-0.0016011349117878,NA,12345,NA
32,"Bondell",0.666666666666667,0.4,0.0321571764087778,1,0.5,0.0786642313579373,0.4,0.4,0.00684610887141608,0,NA,12345,NA
33,"glmmTMB",1,1,0.00230663366485655,NA,NA,0.0234680498454388,0.001,NA,NA,NA,FALSE,12345,NA
33,"Lin",1,0,0.000671626841499865,1,0,0.0242294282784464,5,2.5,-2.2054782842264e-05,0,NA,12345,NA
33,"Bondell",1,0.2,0.000757847167777778,1,0.5,0.0244750569920096,0.4,0.4,0.0153355620575374,0,NA,12345,NA
34,"glmmTMB",1,1,0.0100545889588043,NA,NA,0.0302347480012135,0.0935955520254055,NA,NA,NA,FALSE,12345,NA
34,"Lin",0.666666666666667,0,0.0283011006275067,1,0.5,0.0697927958405641,10,2.5,0,0.00177266545072719,NA,12345,NA
34,"Bondell",1,0.2,0.00201402283266667,1,1,0.0194620527557603,0.4,0.4,0.00145324078100903,0.00624386707564204,NA,12345,NA
35,"glmmTMB",1,0.8,0.0160764728047499,NA,NA,0.0499861614187544,1.22508372483069,NA,NA,NA,FALSE,12345,NA
35,"Lin",1,0,0.00114556079760139,1,1,0.0229879759571014,5,1,0.0447979696865112,0.0117539874292244,NA,12345,NA
35,"Bondell",1,0,0.00456346300777778,1,0.5,0.0307980274673075,0.4,0.4,0.0197334647039795,0,NA,12345,NA
36,"glmmTMB",1,0.8,0.00995278574602197,NA,NA,0.0380811939480435,0.971000224804935,NA,NA,NA,FALSE,12345,NA
36,"Lin",0.666666666666667,0,0.0282874306280194,1,0,0.0822029996147881,5,2.5,0,0,NA,12345,NA
36,"Bondell",1,0.4,0.00949679425655556,1,0.5,0.0427187144512342,0.4,0.4,0.00388191118224209,0,NA,12345,NA
37,"glmmTMB",1,1,0.0100950790511168,NA,NA,0.0408829146298222,1.22508372483069,NA,NA,NA,FALSE,12345,NA
37,"Lin",1,0,0.00142844947641533,1,0,0.0261533110185989,2.5,2.5,0,-7.02583148508918e-05,NA,12345,NA
37,"Bondell",1,0,0.00408079826066667,1,0,0.0283888717417897,0.4,0.4,0,0,NA,12345,NA
38,"glmmTMB",1,1,0.00161331307079398,NA,NA,0.023639183094477,1.22508372483069,NA,NA,NA,FALSE,12345,NA
38,"Lin",1,0,0.0101764759621028,1,0,0.0518873062395929,5,1,-0.000127046146348391,-2.74912706986644e-05,NA,12345,NA
38,"Bondell",1,0.4,0.000578609934888889,1,0,0.0236207801360298,0.4,0.4,0,0,NA,12345,NA
39,"glmmTMB",1,1,0.00642904899634799,NA,NA,0.0293437776851367,0.112775423252096,NA,NA,NA,FALSE,12345,NA
39,"Lin",1,0,0.00285557722895312,1,1,0.030617185483505,2.5,1,0.0115046951594425,0.00600686313561664,NA,12345,NA
39,"Bondell",1,0.2,0.000464422379888889,1,0.5,0.0230451704772054,0.4,0.4,0.00440915713199715,0,NA,12345,NA
40,"glmmTMB",1,1,0.00249602083684028,NA,NA,0.030144634491545,0.001,NA,NA,NA,FALSE,12345,NA
40,"Lin",0.666666666666667,0,0.0281306393399205,1,0,0.0906363705506822,5,2.5,1.352530532236e-05,0,NA,12345,NA
40,"Bondell",1,0.2,0.00515052917933333,1,0.5,0.0406623261106616,0.4,0.4,0.00853776580492227,0,NA,12345,NA
41,"glmmTMB",1,1,0.0272582951044117,NA,NA,0.0659010287396654,0.001,NA,NA,NA,FALSE,12345,NA
41,"Lin",1,0,0.0149521890634229,1,0.5,0.0464029762576372,2.5,2.5,0.00286859485819503,0,NA,12345,NA
41,"Bondell",1,0.2,0.0195870774938889,1,0.5,0.0547274466828356,0.4,0.4,0.00359757204145243,0,NA,12345,NA
42,"glmmTMB",1,1,0.0673454514993668,NA,NA,0.16720735000835,6.11816872991646,NA,NA,NA,FALSE,12345,NA
42,"Lin",0.666666666666667,0,0.028369670435571,1,0.5,0.0891990705787967,10,0.1,0.0025188784309533,-0.00661026933156447,NA,12345,NA
42,"Bondell",0.666666666666667,0.4,0.0474532566358889,1,0.5,0.127304167050622,0.4,0.4,0.000874886380053509,0,NA,12345,NA
43,"glmmTMB",1,1,0.0330080340822244,NA,NA,0.0983030212633806,0.001,NA,NA,NA,FALSE,12345,NA
43,"Lin",1,0,0.00966705270756628,1,0.5,0.0520635554792877,2.5,0.1,0.00876323067423641,-0.000505897884051024,NA,12345,NA
43,"Bondell",1,0.2,0.0147274488597778,1,0.5,0.0612010634911133,0.4,0.4,0.00772550769823737,0,NA,12345,NA
44,"glmmTMB",1,1,0.00384556691518632,NA,NA,0.0208558707331408,0.001,NA,NA,NA,FALSE,12345,NA
44,"Lin",0.666666666666667,0,0.0303050668236273,1,0,0.0791285083673679,5,0.1,0,-0.00122507281522577,NA,12345,NA
44,"Bondell",1,0.4,0.00559921811433333,1,0.5,0.0269224139494887,0.4,0.4,0.00111844207340474,0,NA,12345,NA
45,"glmmTMB",1,1,0.00162391800615489,NA,NA,0.0184330654591754,0.001,NA,NA,NA,FALSE,12345,NA
45,"Lin",0.666666666666667,0,0.0282418564161958,1,0,0.0738100706175626,10,0.5,-0.00096302715168246,-0.000838616789180134,NA,12345,NA
45,"Bondell",1,0.4,0.00290676035088889,1,0,0.0196961293652708,0.4,0.4,0,0,NA,12345,NA
46,"glmmTMB",1,1,0.00225192903525427,NA,NA,0.0248616214893092,0.001,NA,NA,NA,FALSE,12345,NA
46,"Lin",1,0,0.00227816895209366,1,0,0.0420840368420737,2.5,1,0,-0.000223947483012885,NA,12345,NA
46,"Bondell",1,0.4,0.000252882648333333,1,0,0.0252038588774992,0.4,0.4,0,0,NA,12345,NA
47,"glmmTMB",1,1,0.00660331358312784,NA,NA,0.038608206694675,0.001,NA,NA,NA,FALSE,12345,NA
47,"Lin",0.666666666666667,0,0.0279419010318644,1,0.5,0.0940131667783955,5,0.5,0,0.000894518787390952,NA,12345,NA
47,"Bondell",1,0.2,0.00562933262277778,1,0.5,0.0396673422172828,0.4,0.4,0,0.00885808225396068,NA,12345,NA
48,"glmmTMB",1,1,0.00381108741866584,NA,NA,0.0351801631904034,1.22508372483069,NA,NA,NA,FALSE,12345,NA
48,"Lin",1,0,0.00104702197983415,1,0,0.0234519820169826,2.5,2.5,0,0,NA,12345,NA
48,"Bondell",1,0.2,0.001800314884,1,0,0.0252672822663673,0.4,0.4,0,0,NA,12345,NA
49,"glmmTMB",1,1,0.00984092038014849,NA,NA,0.0299026353800591,0.001,NA,NA,NA,FALSE,12345,NA
49,"Lin",1,0,0.00500386075853498,1,0.5,0.0332531580074353,5,2.5,0,0.00196959333559839,NA,12345,NA
49,"Bondell",1,0.4,0.00114137175555556,1,0.5,0.0190809950153338,0.4,0.4,0,0.00546099120291269,NA,12345,NA
50,"glmmTMB",1,1,0.00184777362195473,NA,NA,0.0191787611187381,1.22508372483069,NA,NA,NA,FALSE,12345,NA
50,"Lin",1,0.2,0.000859354041024707,1,1,0.0484721175523718,2.5,0.1,0.00810505998641015,0.0198242061079785,NA,12345,NA
