"Iteration","Method","TPR","FPR","MSE","Random_TPR","Random_FPR","gamma_mspe","opt_lambda_fixed","opt_lambda_random","re_var_x2","re_var_x3","glmmTMB_signal_collapse","Seed","glmmTMB_collapsed_vars"
50,"Bondell",1,0.4,0.000265862230777778,1,0.5,0.0210733975867749,0.4,0.4,0.0146830481500977,0,NA,12345,NA
1,"glmmTMB",1,1,0.00162337207600013,NA,NA,0.0218155170938583,0.001,NA,NA,NA,FALSE,67890,""
1,"Lin",0.666666666666667,0,0.0286319007029207,1,0.5,0.0993053789287624,5,0.5,-5.6096562859119e-05,0.0372399899054542,NA,67890,NA
1,"Bondell",1,0.2,0.00474759634822222,1,0.5,0.0346298616660873,0.4,0.4,0,0.0114988256244792,NA,67890,NA
2,"glmmTMB",0.666666666666667,0.8,0.0488008939233267,NA,NA,0.103988137007286,20.6184125759897,NA,NA,NA,TRUE,67890,"x1"
2,"Lin",0.666666666666667,0,0.0288055624557602,1,0.5,0.0641124046945592,10,0.1,-0.0029024746263801,0.0276216104968616,NA,67890,NA
2,"Bondell",0.666666666666667,0.2,0.0380852245255556,1,0,0.0798268751985483,0.4,0.4,0,0,NA,67890,NA
3,"glmmTMB",1,1,0.00807627726952504,NA,NA,0.0297303213147149,0.001,NA,NA,NA,FALSE,67890,""
3,"Lin",0.666666666666667,0,0.0289218866509399,1,0,0.0788790715091953,2.5,2.5,0,0,NA,67890,NA
3,"Bondell",1,0.2,0.0113599273691111,1,0,0.0404895855738775,0.4,0.4,0,0,NA,67890,NA
4,"glmmTMB",0.666666666666667,0.4,0.0317543299270314,NA,NA,0.0814959483057155,15.8158385678152,NA,NA,NA,TRUE,67890,"x1"
4,"Lin",0.666666666666667,0,0.027822986756334,1,0.5,0.0730135727198377,0.5,1,0,0.00770570460076772,NA,67890,NA
4,"Bondell",0.666666666666667,0,0.033490422713,1,0,0.0712448973115365,0.2,0.2,0,0,NA,67890,NA
5,"glmmTMB",1,1,0.00169164860475507,NA,NA,0.0318842176936892,0.001,NA,NA,NA,FALSE,67890,""
5,"Lin",1,0.2,0.000487173936829923,1,0.5,0.0316581942658042,1,0.1,0.00922422317541699,-0.003430713996872,NA,67890,NA
5,"Bondell",1,0.2,0.000454488390111111,1,0.5,0.0289106328293694,0.4,0.4,0.00242367175797838,0,NA,67890,NA
6,"glmmTMB",1,1,0.036439264805408,NA,NA,0.0828390277643803,6.11816872991646,NA,NA,NA,FALSE,67890,""
6,"Lin",0.666666666666667,0,0.0283844731097312,1,0,0.0655588555945072,5,2.5,0,0,NA,67890,NA
6,"Bondell",0.666666666666667,0.4,0.0295172018124444,1,0,0.0680478663733017,0.4,0.4,0,0,NA,67890,NA
7,"glmmTMB",0.666666666666667,0.6,0.0287880743774139,NA,NA,0.0900750521274038,20.6184125759897,NA,NA,NA,TRUE,67890,"x1"
7,"Lin",0.666666666666667,0,0.0293838783267799,1,0,0.0968777739350092,2.5,0.1,-0.0149384020725223,0,NA,67890,NA
7,"Bondell",0.666666666666667,0.6,0.0297448398315556,1,0,0.0910232218324446,0.4,0.4,0,0,NA,67890,NA
8,"glmmTMB",1,1,0.0172966179385261,NA,NA,0.0570132317843725,0.001,NA,NA,NA,FALSE,67890,""
8,"Lin",1,0,0.000302032769124996,1,1,0.0345948315340264,2.5,0.5,0.0215475311173306,0.00120458948983571,NA,67890,NA
8,"Bondell",1,0.4,0.00156590323311111,1,0,0.0282967476448236,0.4,0.4,0,0,NA,67890,NA
9,"glmmTMB",1,0.6,0.0294194632124034,NA,NA,0.0700780489877462,20.6184125759897,NA,NA,NA,FALSE,67890,""
9,"Lin",0.666666666666667,0,0.0290793158535786,1,1,0.0746878778707711,5,0.1,0.0179796117094436,0.00906785477527296,NA,67890,NA
9,"Bondell",1,0.2,0.00593026122255555,1,0.5,0.028672509936488,0.4,0.4,0.00720704259090643,0,NA,67890,NA
10,"glmmTMB",0.666666666666667,0.4,0.0320832050922788,NA,NA,0.063645538662394,20.6184125759897,NA,NA,NA,TRUE,67890,"x1"
10,"Lin",0.666666666666667,0,0.0284687890874938,1,0.5,0.0595783147354975,2.5,2.5,0,0.00369952454496846,NA,67890,NA
10,"Bondell",1,0,0.0192256683848889,1,0.5,0.0459029325326563,0.4,0.4,0,0.0137871213970232,NA,67890,NA
11,"glmmTMB",1,0.8,0.00458688670760473,NA,NA,0.0230010048435684,1.22508372483069,NA,NA,NA,FALSE,67890,""
11,"Lin",1,0,0.00417637754175397,1,0,0.0229486337913514,1,2.5,0,0,NA,67890,NA
11,"Bondell",1,0.4,0.00465607411,1,0,0.0235189640712876,0.4,0.4,0,0,NA,67890,NA
12,"glmmTMB",1,1,0.0023209389328058,NA,NA,0.0209247836111632,1.22508372483069,NA,NA,NA,FALSE,67890,""
12,"Lin",1,0,0.00416718659056252,1,0,0.0285506767052048,2.5,0.1,-0.00490386747237205,-0.000279068264342648,NA,67890,NA
12,"Bondell",1,0.2,0.00160551028077778,1,0.5,0.019708441756242,0.4,0.4,0.0027972187326186,0,NA,67890,NA
13,"glmmTMB",1,1,0.00340588677912428,NA,NA,0.0214922015368773,0.001,NA,NA,NA,FALSE,67890,""
13,"Lin",0.666666666666667,0,0.0288840490005851,1,0,0.0690319809191606,10,1,0,0,NA,67890,NA
13,"Bondell",1,0.2,0.000855145090777778,1,0,0.0202739050755643,0.4,0.4,0,0,NA,67890,NA
14,"glmmTMB",1,1,0.0347361032880879,NA,NA,0.0949706007799309,6.11816872991646,NA,NA,NA,FALSE,67890,""
14,"Lin",0.666666666666667,0,0.0284509132396142,1,0.5,0.0862267733735111,2.5,0.5,0.00911295252998241,-0.000432321922251003,NA,67890,NA
14,"Bondell",0.666666666666667,0.2,0.0304064158167778,1,0.5,0.0846278051827592,0.4,0.4,0.00249532923598063,0,NA,67890,NA
15,"glmmTMB",1,1,0.00895174345642788,NA,NA,0.0598391198932022,1.22508372483069,NA,NA,NA,FALSE,67890,""
15,"Lin",1,0,0.00247116002613592,1,1,0.036564562758368,2.5,0.1,0.00698423832012745,0.0012452385903543,NA,67890,NA
15,"Bondell",1,0.2,0.000633154287888889,1,0.5,0.0322891762501325,0.4,0.4,0,0.00266262051528776,NA,67890,NA
16,"glmmTMB",1,1,0.0483111131125628,NA,NA,0.105009662615822,6.11816872991646,NA,NA,NA,FALSE,67890,""
16,"Lin",0.666666666666667,0,0.0284991500452279,1,0.5,0.0702100233430145,5,2.5,0,0.000266081482650731,NA,67890,NA
16,"Bondell",0.666666666666667,0.2,0.0385416672994445,1,1,0.0911386215078081,0.4,0.4,0.00220042795772984,0.00853757696136907,NA,67890,NA
17,"glmmTMB",1,1,0.00575072096222373,NA,NA,0.0258298148665567,1.22508372483069,NA,NA,NA,FALSE,67890,""
17,"Lin",1,0.4,0.000654596975588981,1,0,0.0179108748701442,2.5,2.5,0,0,NA,67890,NA
17,"Bondell",1,0.4,0.000551477692333333,1,0,0.0175557599966152,0.4,0.4,0,0,NA,67890,NA
18,"glmmTMB",0.666666666666667,0.8,0.046880383870146,NA,NA,0.137102641816498,20.6184125759897,NA,NA,NA,TRUE,67890,"x1"
18,"Lin",0.666666666666667,0,0.0284409979322828,1,0.5,0.104966346448401,10,0.1,0.0205469827238959,-0.00242819426526822,NA,67890,NA
18,"Bondell",0.666666666666667,0.2,0.0392256447071111,1,0.5,0.127701079634448,0.4,0.4,0.0108603246781552,0,NA,67890,NA
19,"glmmTMB",1,1,0.00303348621735217,NA,NA,0.0261215133299855,0.001,NA,NA,NA,FALSE,67890,""
19,"Lin",1,0.2,0.00342377848297046,1,0.5,0.032281477563401,1,2.5,0.000735848667157442,0,NA,67890,NA
19,"Bondell",1,0.2,0.006246639218,1,0.5,0.0406166114026797,0.4,0.4,0.0129518395940856,0,NA,67890,NA
20,"glmmTMB",1,1,0.00664710923954887,NA,NA,0.0298866269531439,0.112775423252096,NA,NA,NA,FALSE,67890,""
20,"Lin",0.666666666666667,0,0.0284233880063785,1,0,0.0797103618363979,5,0.5,-0.000256414938774232,-8.90823324959747e-05,NA,67890,NA
20,"Bondell",1,0.2,0.0105281632291111,1,0,0.0352315225762813,0.4,0.4,0,0,NA,67890,NA
21,"glmmTMB",1,1,0.0100274254654574,NA,NA,0.0396972484571269,1.22508372483069,NA,NA,NA,FALSE,67890,""
21,"Lin",1,0,0.00380770089437519,1,0,0.0339557012137403,2.5,1,0,-0.000439526202788471,NA,67890,NA
21,"Bondell",1,0.4,0.00715493937311111,1,0,0.0362052340024547,0.4,0.4,0,0,NA,67890,NA
22,"glmmTMB",1,1,0.00132346159072555,NA,NA,0.0248552710899574,0.001,NA,NA,NA,FALSE,67890,""
22,"Lin",1,0,0.00971293781534902,1,0.5,0.0500582494019453,5,2.5,0.0167148577998083,0,NA,67890,NA
22,"Bondell",1,0.2,0.00249486665266667,1,0.5,0.033567656183846,0.4,0.4,0.0136373505160882,0,NA,67890,NA
23,"glmmTMB",0.666666666666667,0.6,0.0325805260435585,NA,NA,0.0869385046627565,20.6184125759897,NA,NA,NA,TRUE,67890,"x1"
23,"Lin",0.666666666666667,0,0.0279340772608247,1,0,0.0834192029848765,5,1,0,0,NA,67890,NA
23,"Bondell",1,0.4,0.0114821617073333,1,0,0.0468676256692794,0.4,0.4,0,0,NA,67890,NA
24,"glmmTMB",0.666666666666667,0.6,0.0322106592618797,NA,NA,0.103722102581839,15.8158385678152,NA,NA,NA,TRUE,67890,"x1"
24,"Lin",0.666666666666667,0,0.0284939723863986,1,1,0.0981909978178953,2.5,0.1,0.0272022577165712,0.00422460986665598,NA,67890,NA
24,"Bondell",0.666666666666667,0,0.0356544594435556,1,0,0.0949700754341055,0.2,0.2,0,0,NA,67890,NA
25,"glmmTMB",1,1,0.00153419297915766,NA,NA,0.0262076074285866,0.112775423252096,NA,NA,NA,FALSE,67890,""
25,"Lin",1,0,0.00122731071987963,1,0,0.0285880756540082,2.5,0.5,-0.000952623421711366,-0.000101228354318879,NA,67890,NA
25,"Bondell",1,0.2,0.000555811020555555,1,0,0.0243358107817103,0.4,0.4,0,0,NA,67890,NA
26,"glmmTMB",1,0.6,0.0284779888758042,NA,NA,0.0801588947638756,20.6184125759897,NA,NA,NA,FALSE,67890,""
26,"Lin",0.666666666666667,0,0.0278292154113093,1,0,0.0821115759587804,2.5,1,0,-0.000486427676338689,NA,67890,NA
26,"Bondell",1,0.4,0.007569964579,1,0,0.0373379202821937,0.4,0.4,0,0,NA,67890,NA
27,"glmmTMB",1,1,0.00434638880080922,NA,NA,0.0363271287291424,0.001,NA,NA,NA,FALSE,67890,""
27,"Lin",0.666666666666667,0,0.0278291244021696,1,0,0.092997324711692,5,2.5,0,0,NA,67890,NA
27,"Bondell",1,0.2,0.00456212567766667,1,0.5,0.0426175554334718,0.4,0.4,7.70829368818903e-05,0,NA,67890,NA
28,"glmmTMB",1,1,0.0166769731971476,NA,NA,0.0573759080110682,0.001,NA,NA,NA,FALSE,67890,""
28,"Lin",0.666666666666667,0,0.0281763625714393,1,0,0.0815781374371357,10,0.1,-0.000504439741097442,-0.0158866943790271,NA,67890,NA
28,"Bondell",1,0.2,0.00118066329355556,1,0,0.0252986622348474,0.4,0.4,0,0,NA,67890,NA
29,"glmmTMB",1,1,0.013862881462383,NA,NA,0.0414363710937818,0.001,NA,NA,NA,FALSE,67890,""
29,"Lin",0.666666666666667,0,0.0285900460597985,1,0,0.083911825269593,5,0.5,0,-0.00296616467771945,NA,67890,NA
29,"Bondell",1,0.4,0.0280167627372222,1,0,0.0752491838334378,0.4,0.4,0,0,NA,67890,NA
30,"glmmTMB",0.666666666666667,0.8,0.0379707518672477,NA,NA,0.094410866651623,20.6184125759897,NA,NA,NA,TRUE,67890,"x1"
30,"Lin",0.666666666666667,0,0.0287706527346765,1,0,0.0758271438481836,5,5,0,0,NA,67890,NA
30,"Bondell",0.666666666666667,0.2,0.0306997371984444,1,0,0.0809924541280644,0.4,0.4,0,0,NA,67890,NA
31,"glmmTMB",1,1,0.0190297101698199,NA,NA,0.0557442766254637,0.001,NA,NA,NA,FALSE,67890,""
31,"Lin",1,0.2,0.00209783486367145,1,1,0.029311802172614,2.5,1,0.0260157621562161,0.00673249323633021,NA,67890,NA
31,"Bondell",1,0.4,0.00536735940022222,1,0,0.0285461815294125,0.4,0.4,0,0,NA,67890,NA
32,"glmmTMB",1,1,0.00575144228049116,NA,NA,0.0194914809308382,0.001,NA,NA,NA,FALSE,67890,""
32,"Lin",1,0,0.000511421990031924,1,0.5,0.0113312398241416,2.5,2.5,0.00422918256706856,0,NA,67890,NA
32,"Bondell",1,0.2,0.00080709999088889,1,0.5,0.0130016029878454,0.4,0.4,0.00221846137025052,0,NA,67890,NA
33,"glmmTMB",1,1,0.012065944637847,NA,NA,0.0411307117721748,0.001,NA,NA,NA,FALSE,67890,""
33,"Lin",0.666666666666667,0,0.027959949363842,1,1,0.0899169672308753,5,0.1,0.00222434567392661,0.022507786126893,NA,67890,NA
33,"Bondell",0.666666666666667,0,0.0353342329576667,1,0,0.0827824449463234,0.2,0.2,0,0,NA,67890,NA
34,"glmmTMB",1,1,0.0170446496825995,NA,NA,0.0525335162249868,0.001,NA,NA,NA,FALSE,67890,""
34,"Lin",0.666666666666667,0,0.0281549574717233,1,0,0.065854627718148,5,5,0,0,NA,67890,NA
34,"Bondell",1,0.2,0.0133423662181111,1,0.5,0.0423200533826414,0.4,0.4,0.0024060611792211,0,NA,67890,NA
35,"glmmTMB",0.666666666666667,1,0.0308436723785204,NA,NA,0.100607431010818,6.11816872991646,NA,NA,NA,TRUE,67890,"x1"
35,"Lin",0.666666666666667,0,0.0283323404567404,1,0,0.119677246730243,5,0.5,-0.00307082784306602,-0.000345268840135265,NA,67890,NA
35,"Bondell",0.666666666666667,0.6,0.0293679576748889,1,0,0.0971209947743701,0.4,0.4,0,0,NA,67890,NA
36,"glmmTMB",1,1,0.00303386500784764,NA,NA,0.0239533554242216,0.001,NA,NA,NA,FALSE,67890,""
36,"Lin",0.666666666666667,0,0.0284487036928394,1,0,0.079208049438262,5,2.5,0,0,NA,67890,NA
36,"Bondell",1,0.4,0.0128615623346667,1,0,0.0478275513690768,0.4,0.4,0,0,NA,67890,NA
37,"glmmTMB",1,0.8,0.0030524252263255,NA,NA,0.0219035550025049,1.22508372483069,NA,NA,NA,FALSE,67890,""
37,"Lin",0.666666666666667,0,0.0284285877422402,1,0,0.0633447374372494,10,2.5,0,0,NA,67890,NA
37,"Bondell",1,0.4,0.005002850789,1,0,0.0272306158754356,0.4,0.4,0,0,NA,67890,NA
38,"glmmTMB",1,0.8,0.00324356830507247,NA,NA,0.0259723061323799,0.001,NA,NA,NA,FALSE,67890,""
38,"Lin",1,0,0.0012235765472086,1,0,0.0233324117688448,2.5,2.5,0,0,NA,67890,NA
38,"Bondell",1,0.2,0.000721863341333334,1,0,0.0215857929816557,0.4,0.4,0,0,NA,67890,NA
39,"glmmTMB",1,0.8,0.0307543784953915,NA,NA,0.0794940652853974,20.6184125759897,NA,NA,NA,FALSE,67890,""
39,"Lin",0.666666666666667,0,0.0277861624435962,1,0,0.0731680629387769,5,2.5,0,0,NA,67890,NA
39,"Bondell",1,0.4,0.010361856957,1,0,0.0386901873554763,0.4,0.4,0,0,NA,67890,NA
40,"glmmTMB",1,1,0.017164304374382,NA,NA,0.04112459388058,1.22508372483069,NA,NA,NA,FALSE,67890,""
40,"Lin",1,0.2,0.00193615138694659,1,0.5,0.0218952234258716,2.5,0.5,-0.000353717708148824,0.0055893099403949,NA,67890,NA
40,"Bondell",1,0.2,0.00220635867,1,1,0.0204570783936444,0.4,0.4,0.00776962963004292,0.00531204507568699,NA,67890,NA
41,"glmmTMB",1,1,0.0249004073935282,NA,NA,0.0625518006642667,0.001,NA,NA,NA,FALSE,67890,""
41,"Lin",1,0,0.0042376482612072,1,0.5,0.0342763339090515,5,0.1,0.0115285746660205,-0.00376235079379237,NA,67890,NA
41,"Bondell",1,0.2,0.00404887813666667,1,0.5,0.022490371747458,0.4,0.4,0.00546951620250924,0,NA,67890,NA
42,"glmmTMB",1,1,0.0210396329125531,NA,NA,0.0551990654401065,0.112775423252096,NA,NA,NA,FALSE,67890,""
42,"Lin",1,0,0.00195329650799551,1,0,0.0365261926428504,2.5,0.5,3.69222294896624e-05,-0.000391531450937502,NA,67890,NA
42,"Bondell",1,0.4,0.00713550665611111,1,0,0.0315497958323085,0.4,0.4,0,0,NA,67890,NA
43,"glmmTMB",1,1,0.00448057090599746,NA,NA,0.0187805400360826,0.001,NA,NA,NA,FALSE,67890,""
43,"Lin",0.666666666666667,0,0.0280357909316882,1,1,0.0774372766362933,10,0.1,0.0147738408292828,0.00797054142343317,NA,67890,NA
43,"Bondell",1,0.2,0.00334658647055555,1,0.5,0.0226101172757119,0.4,0.4,0.00461751973078565,0,NA,67890,NA
44,"glmmTMB",0.666666666666667,0.8,0.0293977436140389,NA,NA,0.0813939363620364,20.6184125759897,NA,NA,NA,TRUE,67890,"x1"
44,"Lin",0.666666666666667,0,0.028950923078421,1,0.5,0.0808441859806533,10,2.5,0.000390783683364703,0,NA,67890,NA
44,"Bondell",1,0.4,0.0185429055071111,1,0,0.0572631783938609,0.4,0.4,0,0,NA,67890,NA
45,"glmmTMB",1,1,0.0053520201003263,NA,NA,0.0281091233141632,0.971000224804935,NA,NA,NA,FALSE,67890,""
45,"Lin",0.666666666666667,0,0.0279323382588336,1,1,0.0718700192556634,5,0.5,0.029604988875024,0.00908042695820861,NA,67890,NA
45,"Bondell",1,0.4,0.00693429842155556,1,0.5,0.0313591350463935,0.4,0.4,0.00577927078003405,0,NA,67890,NA
46,"glmmTMB",1,1,0.0515877531472858,NA,NA,0.108523976841901,15.8158385678152,NA,NA,NA,FALSE,67890,""
46,"Lin",0.666666666666667,0,0.0322572597246733,1,0.5,0.0758376686917183,5,0.1,0.00239102349766099,-0.00218874939625886,NA,67890,NA
46,"Bondell",1,0.4,0.0265207972768889,1,0,0.0623727488931616,0.4,0.4,0,0,NA,67890,NA
47,"glmmTMB",1,1,0.00365479919351817,NA,NA,0.041882838988386,1.22508372483069,NA,NA,NA,FALSE,67890,""
47,"Lin",0.666666666666667,0,0.0278284681076633,1,0,0.0780685575812079,10,2.5,0,0,NA,67890,NA
47,"Bondell",1,0.4,0.000382290056222222,1,0.5,0.0309840642753827,0.4,0.4,0.0022262067661404,0,NA,67890,NA
48,"glmmTMB",1,1,0.0140816238064817,NA,NA,0.0415545764228409,1.22508372483069,NA,NA,NA,FALSE,67890,""
48,"Lin",0.666666666666667,0,0.0285680072276254,1,0.5,0.108161696215708,10,0.5,0.0126779207555186,-0.000761225904942796,NA,67890,NA
48,"Bondell",1,0.2,0.00120173884922222,1,0.5,0.0261664217541207,0.4,0.4,0.00449459412931719,0,NA,67890,NA
49,"glmmTMB",0.666666666666667,0.8,0.0327784065344322,NA,NA,0.10285834667837,15.8158385678152,NA,NA,NA,TRUE,67890,"x1"
49,"Lin",0.666666666666667,0,0.0290561135811095,1,0,0.0967975625830323,2.5,2.5,0,0,NA,67890,NA
49,"Bondell",0.666666666666667,0.4,0.0288227982617778,1,0.5,0.0958128318488392,0.4,0.4,0.00544034357260354,0,NA,67890,NA
50,"glmmTMB",1,0.8,0.00163171971742983,NA,NA,0.0210907915445322,0.112775423252096,NA,NA,NA,FALSE,67890,""
50,"Lin",0.666666666666667,0,0.0283250198806747,1,0.5,0.0905679877689621,10,1,0.00118850692497806,0,NA,67890,NA
50,"Bondell",1,0.4,0.00241836487666667,1,0,0.0280311849981112,0.4,0.4,0,0,NA,67890,NA
